"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20140601","2014","6","201406","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","57521764","false","0","false","0","39721803.525","39721803.525","0","false","true",
"C","M","20141201","2014","12","201412","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","18843362","false","0","false","15041416.656","0","15041416.656","0","false","true",
"C","M","20140201","2014","2","201402","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","18951778","false","0","false","18685554.562","0","18685554.562","0","false","true",
"C","M","20140201","2014","2","201402","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","59128824","false","0","false","0","40191337.026","40191337.026","0","false","true",
"C","M","20141101","2014","11","201411","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","47693873","false","0","false","0","25876673.779","25876673.779","0","false","true",
"C","M","20140101","2014","1","201401","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","22404316","false","0","false","21950746.509","0","21950746.509","0","false","true",
"C","M","20141201","2014","12","201412","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","51716351","false","0","false","0","28714207.284","28714207.284","0","false","true",
"C","M","20140101","2014","1","201401","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","60497363","false","0","false","0","46923551.345","46923551.345","0","false","true",
"C","M","20140301","2014","3","201403","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","17990021","false","0","false","17984196.776","0","17984196.776","0","false","true",
"C","M","20140301","2014","3","201403","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","53332935","false","0","false","0","43794067.955","43794067.955","0","false","true",
"C","M","20140801","2014","8","201408","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","10966764","false","0","false","0","35080212.313","35080212.313","0","false","true",
"C","M","20141201","2014","12","201412","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","13298882","false","0","false","0","31301034","31301034","0","false","true",
